Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,42978914311.3504,99838543960.0763,218888324504.753,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332927833278.038,235369129337.711,250894760351.232,303175127597.521
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,4817542204.02673,11784927700,18448000000,20284000000,21386000000,21990970000,22593480000,23438240000,24191440000,24979200000,26117400000,27022640000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,112119406.548331,1045998496.43872,16314442183.3477,21357344847.4966,22388345810.2466,21948835350.3425,21765454404.421,13185496836.4124,11240809132.4145,12200914929.5961,13278488567.3058,11026774945.3415
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,706370815.584416,1589515447.15447,2065001626.01626,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,5694069842.43988,19693608686.6415,23391529311.2497,23192709238.817,25271407238.6622,26773472961.8253,23048864242.6072,23996451497.6139,26859101053.8139,30747159197.8965,31386949981.236
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,1114703088.1614,1738100853.05052,4438778547.23269,4820499497.32134,4886658806.33374,4597702903.12892,4422304974.7989,4073390989.81887,3840677845.0034,4446248676.29633,4710618470.04358,4405405802.44294
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,12175166763.285,8242392103.68061,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81770791970.982,84269348327.3454,96107662398.1749
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,..,1058702725.4395,2320424601.26954,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2689157270.82312,2833300519.46872,..,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1337024782.22702,1684109743.49338,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4856963229.83999,4682546863.08162,4930204229.72263,5353404422.08138,5536759653.15704,5535548972.41252
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,141438345513.917,125706651925.557,249181190476.369,275243697751.011,258304834621.605,271285280621.373,274497230802.958,234440080998.273,240607907010.383,255122545770.778,275893681355.892,268761201364.705
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1269179616913.63,1362248940482.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2595151045197.65,2787863958885.49,2715518274227.45
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,3181206304.81549,3447543137.9415,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,5952293765.84468,5067865320.7979,14372591916.4792,18210308748.2912,17170465294.0332,17595745653.3676,18203968001.8908,14383107714.0388,14023890620.3384,14929488770.7315,16862282413.8778,16657960228.0892
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,317083373.524559,782915402.421095,1543292392.54605,1409694553.90934,1415006238.09509,1375608956.10386,1229460601.92174,1354788658.6494,1470006033.90217,1498044491.4304,1624600882.32255,1763819047.69838
