CD_RGN_REFNIS;MONTH;YEAR;CD_AGE;MS_SEX_;CHAP_COD;COUNT
02000;1;2009;75-84;M;N00-N99;24
02000;1;2009;75-84;M;R00-R99;28
02000;1;2009;75-84;M;UNK;9
02000;1;2009;75-84;M;V01-Y98;26
02000;1;2009;85+;F;A00-B99;32
02000;1;2009;85+;F;C00-D48;143
02000;1;2009;85+;F;D50-D89;6
02000;1;2009;85+;F;E00-E90;31
02000;1;2009;85+;F;F00-F99;103
02000;1;2009;85+;F;G00-G99;44
02000;1;2009;85+;F;I00-I99;575
02000;1;2009;85+;F;J00-J99;257
02000;1;2009;85+;F;K00-K93;50
02000;1;2009;85+;F;L00-L99;3
02000;1;2009;85+;F;M00-M99;2
02000;1;2009;85+;F;N00-N99;32
02000;1;2009;85+;F;R00-R99;49
02000;1;2009;85+;F;UNK;12
02000;1;2009;85+;F;V01-Y98;35
02000;1;2009;85+;M;A00-B99;21
02000;1;2009;85+;M;C00-D48;108
02000;1;2009;85+;M;D50-D89;6
02000;1;2009;85+;M;E00-E90;13
02000;1;2009;85+;M;F00-F99;35
02000;1;2009;85+;M;G00-G99;16
02000;1;2009;85+;M;I00-I99;288
02000;1;2009;85+;M;J00-J99;155
02000;1;2009;85+;M;K00-K93;31
02000;1;2009;85+;M;L00-L99;1
02000;1;2009;85+;M;M00-M99;1
02000;1;2009;85+;M;N00-N99;21
02000;1;2009;85+;M;R00-R99;17
02000;1;2009;85+;M;UNK;4
02000;1;2009;85+;M;V01-Y98;28
02000;1;2010;0-24;F;C00-D48;1
02000;1;2010;0-24;F;E00-E90;4
02000;1;2010;0-24;F;I00-I99;1
02000;1;2010;0-24;F;K00-K93;1
02000;1;2010;0-24;F;P00-P96;2
02000;1;2010;0-24;F;Q00-Q99;4
02000;1;2010;0-24;F;R00-R99;1
02000;1;2010;0-24;F;V01-Y98;10
02000;1;2010;0-24;M;A00-B99;2
02000;1;2010;0-24;M;C00-D48;1
02000;1;2010;0-24;M;E00-E90;1
02000;1;2010;0-24;M;G00-G99;1
02000;1;2010;0-24;M;J00-J99;1
02000;1;2010;0-24;M;N00-N99;1
02000;1;2010;0-24;M;P00-P96;7
02000;1;2010;0-24;M;Q00-Q99;5
02000;1;2010;0-24;M;R00-R99;7
02000;1;2010;0-24;M;V01-Y98;11
02000;1;2010;25-44;F;C00-D48;18
02000;1;2010;25-44;F;F00-F99;1
02000;1;2010;25-44;F;G00-G99;1
02000;1;2010;25-44;F;I00-I99;3
02000;1;2010;25-44;F;J00-J99;1
02000;1;2010;25-44;F;K00-K93;2
02000;1;2010;25-44;F;O00-O99;1
02000;1;2010;25-44;F;Q00-Q99;2
02000;1;2010;25-44;F;R00-R99;1
02000;1;2010;25-44;F;V01-Y98;12
02000;1;2010;25-44;M;C00-D48;12
02000;1;2010;25-44;M;E00-E90;1
02000;1;2010;25-44;M;F00-F99;1
02000;1;2010;25-44;M;G00-G99;2
02000;1;2010;25-44;M;I00-I99;3
02000;1;2010;25-44;M;J00-J99;3
02000;1;2010;25-44;M;K00-K93;4
02000;1;2010;25-44;M;N00-N99;1
02000;1;2010;25-44;M;R00-R99;2
02000;1;2010;25-44;M;V01-Y98;52
02000;1;2010;45-64;F;A00-B99;6
02000;1;2010;45-64;F;C00-D48;135
02000;1;2010;45-64;F;E00-E90;4
02000;1;2010;45-64;F;F00-F99;4
02000;1;2010;45-64;F;G00-G99;12
02000;1;2010;45-64;F;I00-I99;44
02000;1;2010;45-64;F;J00-J99;10
02000;1;2010;45-64;F;K00-K93;14
02000;1;2010;45-64;F;L00-L99;1
02000;1;2010;45-64;F;N00-N99;2
02000;1;2010;45-64;F;Q00-Q99;5
02000;1;2010;45-64;F;R00-R99;11
02000;1;2010;45-64;F;V01-Y98;20
02000;1;2010;45-64;M;A00-B99;5
02000;1;2010;45-64;M;C00-D48;174
02000;1;2010;45-64;M;E00-E90;3
02000;1;2010;45-64;M;F00-F99;4
02000;1;2010;45-64;M;G00-G99;6
02000;1;2010;45-64;M;I00-I99;107
02000;1;2010;45-64;M;J00-J99;34
02000;1;2010;45-64;M;K00-K93;29
02000;1;2010;45-64;M;N00-N99;3
02000;1;2010;45-64;M;Q00-Q99;1
02000;1;2010;45-64;M;R00-R99;24
02000;1;2010;45-64;M;V01-Y98;44
02000;1;2010;65-74;F;A00-B99;5
02000;1;2010;65-74;F;C00-D48;137
02000;1;2010;65-74;F;D50-D89;1
02000;1;2010;65-74;F;E00-E90;7
02000;1;2010;65-74;F;F00-F99;6
02000;1;2010;65-74;F;G00-G99;17
02000;1;2010;65-74;F;I00-I99;89
02000;1;2010;65-74;F;J00-J99;24
02000;1;2010;65-74;F;K00-K93;11
02000;1;2010;65-74;F;M00-M99;6
02000;1;2010;65-74;F;N00-N99;8
02000;1;2010;65-74;F;R00-R99;11
02000;1;2010;65-74;F;V01-Y98;5
02000;1;2010;65-74;M;A00-B99;8
02000;1;2010;65-74;M;C00-D48;210
02000;1;2010;65-74;M;D50-D89;1
02000;1;2010;65-74;M;E00-E90;9
02000;1;2010;65-74;M;F00-F99;10
02000;1;2010;65-74;M;G00-G99;18
02000;1;2010;65-74;M;I00-I99;146
02000;1;2010;65-74;M;J00-J99;51
02000;1;2010;65-74;M;K00-K93;16
02000;1;2010;65-74;M;N00-N99;8
02000;1;2010;65-74;M;R00-R99;18
02000;1;2010;65-74;M;V01-Y98;22
02000;1;2010;75-84;F;A00-B99;25
02000;1;2010;75-84;F;C00-D48;203
02000;1;2010;75-84;F;D50-D89;3
02000;1;2010;75-84;F;E00-E90;25
02000;1;2010;75-84;F;F00-F99;56
02000;1;2010;75-84;F;G00-G99;35
02000;1;2010;75-84;F;I00-I99;336
02000;1;2010;75-84;F;J00-J99;103
02000;1;2010;75-84;F;K00-K93;40
02000;1;2010;75-84;F;L00-L99;2
02000;1;2010;75-84;F;M00-M99;3
02000;1;2010;75-84;F;N00-N99;15
02000;1;2010;75-84;F;R00-R99;34
02000;1;2010;75-84;F;V01-Y98;26
02000;1;2010;75-84;M;A00-B99;24
02000;1;2010;75-84;M;C00-D48;285
02000;1;2010;75-84;M;D50-D89;4
02000;1;2010;75-84;M;E00-E90;21
02000;1;2010;75-84;M;F00-F99;40
02000;1;2010;75-84;M;G00-G99;39
02000;1;2010;75-84;M;I00-I99;339
02000;1;2010;75-84;M;J00-J99;149
02000;1;2010;75-84;M;K00-K93;29
02000;1;2010;75-84;M;L00-L99;2
02000;1;2010;75-84;M;M00-M99;2
02000;1;2010;75-84;M;N00-N99;28
02000;1;2010;75-84;M;Q00-Q99;1
02000;1;2010;75-84;M;R00-R99;16
02000;1;2010;75-84;M;V01-Y98;31
02000;1;2010;85+;F;A00-B99;34
02000;1;2010;85+;F;C00-D48;157
02000;1;2010;85+;F;D50-D89;3
02000;1;2010;85+;F;E00-E90;37
02000;1;2010;85+;F;F00-F99;96
02000;1;2010;85+;F;G00-G99;51
02000;1;2010;85+;F;I00-I99;555
02000;1;2010;85+;F;J00-J99;172
02000;1;2010;85+;F;K00-K93;57
02000;1;2010;85+;F;L00-L99;5
02000;1;2010;85+;F;M00-M99;3
02000;1;2010;85+;F;N00-N99;49
02000;1;2010;85+;F;R00-R99;99
02000;1;2010;85+;F;V01-Y98;41
02000;1;2010;85+;M;A00-B99;5
02000;1;2010;85+;M;C00-D48;130
02000;1;2010;85+;M;D50-D89;1
02000;1;2010;85+;M;E00-E90;19
02000;1;2010;85+;M;F00-F99;32
02000;1;2010;85+;M;G00-G99;21
02000;1;2010;85+;M;I00-I99;296
02000;1;2010;85+;M;J00-J99;132
02000;1;2010;85+;M;K00-K93;21
02000;1;2010;85+;M;L00-L99;1
02000;1;2010;85+;M;M00-M99;1
02000;1;2010;85+;M;N00-N99;26
02000;1;2010;85+;M;R00-R99;34
02000;1;2010;85+;M;V01-Y98;17
02000;1;2011;0-24;F;C00-D48;2
02000;1;2011;0-24;F;E00-E90;2
02000;1;2011;0-24;F;G00-G99;1
02000;1;2011;0-24;F;I00-I99;1
02000;1;2011;0-24;F;J00-J99;1
02000;1;2011;0-24;F;P00-P96;4
02000;1;2011;0-24;F;Q00-Q99;5
02000;1;2011;0-24;F;R00-R99;1
02000;1;2011;0-24;F;V01-Y98;10
02000;1;2011;0-24;M;A00-B99;1
02000;1;2011;0-24;M;C00-D48;4
02000;1;2011;0-24;M;G00-G99;2
02000;1;2011;0-24;M;J00-J99;1
02000;1;2011;0-24;M;K00-K93;1
02000;1;2011;0-24;M;P00-P96;4
02000;1;2011;0-24;M;Q00-Q99;4
02000;1;2011;0-24;M;V01-Y98;16
02000;1;2011;25-44;F;A00-B99;2
02000;1;2011;25-44;F;C00-D48;12
02000;1;2011;25-44;F;E00-E90;1
02000;1;2011;25-44;F;G00-G99;2
02000;1;2011;25-44;F;I00-I99;2
02000;1;2011;25-44;F;J00-J99;1
02000;1;2011;25-44;F;K00-K93;1
02000;1;2011;25-44;F;R00-R99;3
02000;1;2011;25-44;F;V01-Y98;8
02000;1;2011;25-44;M;C00-D48;12
02000;1;2011;25-44;M;E00-E90;3
02000;1;2011;25-44;M;G00-G99;1
02000;1;2011;25-44;M;I00-I99;9
02000;1;2011;25-44;M;J00-J99;5
02000;1;2011;25-44;M;K00-K93;2
02000;1;2011;25-44;M;N00-N99;1
02000;1;2011;25-44;M;R00-R99;5
02000;1;2011;25-44;M;V01-Y98;36
02000;1;2011;45-64;F;A00-B99;9
02000;1;2011;45-64;F;C00-D48;133
02000;1;2011;45-64;F;E00-E90;4
02000;1;2011;45-64;F;F00-F99;2
02000;1;2011;45-64;F;G00-G99;6
02000;1;2011;45-64;F;I00-I99;48
02000;1;2011;45-64;F;J00-J99;19
02000;1;2011;45-64;F;K00-K93;8
02000;1;2011;45-64;F;M00-M99;1
02000;1;2011;45-64;F;N00-N99;5
02000;1;2011;45-64;F;Q00-Q99;3
02000;1;2011;45-64;F;R00-R99;10
02000;1;2011;45-64;F;V01-Y98;40
02000;1;2011;45-64;M;A00-B99;11
02000;1;2011;45-64;M;C00-D48;173
02000;1;2011;45-64;M;D50-D89;2
02000;1;2011;45-64;M;E00-E90;6
02000;1;2011;45-64;M;F00-F99;7
02000;1;2011;45-64;M;G00-G99;13
02000;1;2011;45-64;M;I00-I99;103
02000;1;2011;45-64;M;J00-J99;30
02000;1;2011;45-64;M;K00-K93;27
02000;1;2011;45-64;M;M00-M99;2
02000;1;2011;45-64;M;N00-N99;7
02000;1;2011;45-64;M;R00-R99;32
02000;1;2011;45-64;M;V01-Y98;43
02000;1;2011;65-74;F;A00-B99;5
02000;1;2011;65-74;F;C00-D48;135
02000;1;2011;65-74;F;D50-D89;2
02000;1;2011;65-74;F;E00-E90;4
02000;1;2011;65-74;F;F00-F99;10
02000;1;2011;65-74;F;G00-G99;14
02000;1;2011;65-74;F;I00-I99;67
02000;1;2011;65-74;F;J00-J99;32
02000;1;2011;65-74;F;K00-K93;10
02000;1;2011;65-74;F;L00-L99;1
02000;1;2011;65-74;F;M00-M99;1
02000;1;2011;65-74;F;N00-N99;7
02000;1;2011;65-74;F;R00-R99;11
02000;1;2011;65-74;F;V01-Y98;6
02000;1;2011;65-74;M;A00-B99;13
02000;1;2011;65-74;M;C00-D48;213
02000;1;2011;65-74;M;D50-D89;1
02000;1;2011;65-74;M;E00-E90;13
02000;1;2011;65-74;M;F00-F99;9
02000;1;2011;65-74;M;G00-G99;11
02000;1;2011;65-74;M;I00-I99;125
02000;1;2011;65-74;M;J00-J99;58
02000;1;2011;65-74;M;K00-K93;30
02000;1;2011;65-74;M;M00-M99;1
02000;1;2011;65-74;M;N00-N99;6
02000;1;2011;65-74;M;Q00-Q99;1
02000;1;2011;65-74;M;R00-R99;13
02000;1;2011;65-74;M;V01-Y98;27
02000;1;2011;75-84;F;A00-B99;24
02000;1;2011;75-84;F;C00-D48;205
02000;1;2011;75-84;F;D50-D89;3
02000;1;2011;75-84;F;E00-E90;24
02000;1;2011;75-84;F;F00-F99;49
02000;1;2011;75-84;F;G00-G99;49
02000;1;2011;75-84;F;I00-I99;278
02000;1;2011;75-84;F;J00-J99;101
02000;1;2011;75-84;F;K00-K93;40
02000;1;2011;75-84;F;L00-L99;6
02000;1;2011;75-84;F;M00-M99;5
02000;1;2011;75-84;F;N00-N99;25
02000;1;2011;75-84;F;R00-R99;29
02000;1;2011;75-84;F;V01-Y98;30
02000;1;2011;75-84;M;A00-B99;13
02000;1;2011;75-84;M;C00-D48;280
02000;1;2011;75-84;M;D50-D89;2
02000;1;2011;75-84;M;E00-E90;16
02000;1;2011;75-84;M;F00-F99;25
02000;1;2011;75-84;M;G00-G99;44
02000;1;2011;75-84;M;I00-I99;273
02000;1;2011;75-84;M;J00-J99;135
02000;1;2011;75-84;M;K00-K93;27
02000;1;2011;75-84;M;M00-M99;3
